package	srcLOC	hasDist	declaresExports	dependedOnBy	asAny	promiseAny	tsIgnore
async-utils	13	no	no	2	0	0	0
auth-kit	42	no	yes	1	0	0	0
auth	0	no	no	1	0	0	0
awards-engine	19	no	yes	2	0	0	0
client-live	27	no	yes	1	0	0	0
contracts-tests	1	no	no	1	0	0	0
contracts	4	no	no	1	0	0	0
env-config	24	no	yes	1	0	0	0
graphql-dataloader	27	no	yes	1	0	0	0
graphql-utils	18	no	yes	1	1	0	0
graphql	1	no	no	1	0	0	0
http-client	186	no	no	2	13	0	0
infra	51	no	yes	1	0	0	0
integration	125	no	yes	21	1	1	2
integrations	1	no	no	1	0	0	0
libs	1	no	no	1	0	0	0
nest-bootstrap	32	no	no	1	0	1	0
observability-sdk	177	no	yes	57	3	0	0
observability	60	no	yes	1	0	0	0
resilience	85	no	yes	1	0	0	0
security-middleware	244	no	yes	48	9	0	2
service-kit	196	no	no	21	3	0	1
shared	352	no	no	1	2	0	0
state	36	no	no	2	1	0	1
storage	40	no	yes	2	0	0	0
theme	1	no	no	1	0	0	0
training-load-engine	26	no	yes	2	0	0	0
ui-components	38	no	no	3	0	0	0
ui-tokens	44	no	no	3	0	0	0
ui	23	no	no	2	0	0	0
utils	80	no	no	2	1	0	0
